City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Castrillon,ES,2021-02-03 06:28:49,43.3979,-6.7922,55.4,54,0,19.57
200,Cidreira,BR,2021-02-03 06:26:24,-30.1811,-50.2056,76.93,90,77,14.32
201,Barsovo,RU,2021-02-03 06:28:50,61.1667,73.1667,12.2,92,75,11.18
202,Comodoro Rivadavia,AR,2021-02-03 06:27:48,-45.8667,-67.5,77.0,33,0,10.36
203,Qui Nhon,VN,2021-02-03 06:28:50,13.7667,109.2333,75.79,74,41,18.16
204,Chabahar,IR,2021-02-03 06:28:50,25.2919,60.643,72.39,42,0,8.97
205,Itarema,BR,2021-02-03 06:28:08,-2.9248,-39.9167,75.27,87,35,9.51
206,Taree,AU,2021-02-03 06:27:57,-31.9,152.4667,75.99,60,59,7.54
207,Haines Junction,CA,2021-02-03 06:26:24,60.7522,-137.5108,-16.6,69,95,1.14
208,Birao,CF,2021-02-03 06:28:49,10.2849,22.7882,78.89,22,76,4.0
209,Hofn,IS,2021-02-03 06:26:56,64.2539,-15.2082,31.3,95,100,14.85
210,Huoqiu,CN,2021-02-03 06:28:51,32.3394,116.2694,60.98,41,6,10.25
211,Morant Bay,JM,2021-02-03 06:28:51,17.8815,-76.4093,75.2,64,75,19.57
212,Xifeng,CN,2021-02-03 06:28:51,42.7372,124.7222,9.52,87,46,13.44
213,Eureka,US,2021-02-03 06:28:26,40.8021,-124.1637,44.01,88,25,8.81
214,Toledo,ES,2021-02-03 06:28:51,39.8333,-4.0,50.0,73,64,8.16
215,Beyneu,KZ,2021-02-03 06:27:15,45.3167,55.2,42.73,62,98,15.59
216,Kushmurun,KZ,2021-02-03 06:28:14,52.4503,64.6311,33.51,96,100,15.35
217,Norman Wells,CA,2021-02-03 06:26:38,65.282,-126.8329,-20.2,69,90,6.91
218,Manavalakurichi,IN,2021-02-03 06:28:51,8.1333,77.3,87.8,51,20,13.02
219,Ilulissat,GL,2021-02-03 06:26:35,69.2167,-51.1,-5.8,59,6,21.85
220,Arica,CL,2021-02-03 06:28:51,-18.475,-70.3042,69.8,64,0,4.61
221,Tekeli,KZ,2021-02-03 06:28:52,44.83,78.8239,35.28,78,48,3.8
