City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Beloha,MG,-25.1667,45.05,78.85,75,29,11.36,scattered clouds
252,Saint-Joseph,RE,-21.3667,55.6167,82.4,74,75,6.91,broken clouds
253,Chaozhou,CN,23.6651,116.6379,64.4,82,0,4.47,clear sky
254,Fier,AL,40.7239,19.5561,61.48,55,96,10.02,overcast clouds
255,Basco,PH,20.4487,121.9702,74.07,86,100,23.29,overcast clouds
256,Abasolo,MX,20.45,-101.5167,55.4,54,1,5.03,clear sky
257,Marawi,PH,7.9986,124.2928,75.99,94,100,1.01,overcast clouds
258,Vila Velha,BR,-20.3297,-40.2925,71.6,94,90,5.75,light rain
259,Chapais,CA,49.7834,-74.8492,8.6,85,90,9.22,light snow
260,Bubaque,GW,11.2833,-15.8333,80.96,51,0,9.98,clear sky
261,Kulunda,RU,52.566,78.9385,18.3,94,82,15.03,broken clouds
262,Nemuro,JP,43.3236,145.575,16.29,89,89,11.56,overcast clouds
263,Jardim,BR,-21.4803,-56.1381,90.52,35,0,1.88,clear sky
264,Naze,JP,28.3667,129.4833,57.9,64,0,8.19,clear sky
265,Hikone,JP,35.25,136.25,42.01,87,21,1.01,few clouds
266,Bengkulu,ID,-3.8004,102.2655,77.36,85,100,6.42,overcast clouds
267,Bosaso,SO,11.2842,49.1816,77.0,78,20,10.36,few clouds
268,Tupik,RU,54.4253,119.9327,-18.65,83,1,2.37,clear sky
269,Raudeberg,NO,61.9875,5.1352,28.4,43,0,12.66,clear sky
270,Victoria Point,AU,-27.5833,153.3,77.0,94,93,1.01,light rain
271,Ribeira Grande,PT,38.5167,-28.7,62.6,77,75,14.97,broken clouds
272,Igrim,RU,63.1906,64.4162,-5.4,91,100,13.91,snow
273,Freeport,US,40.6576,-73.5832,34.0,86,90,6.91,snow
274,Rock Falls,US,41.7798,-89.689,-4.0,71,1,8.05,clear sky
275,Nuuk,GL,64.1835,-51.7216,33.8,44,20,18.41,few clouds
276,Aksu,CN,41.1231,80.2644,34.11,74,100,1.92,overcast clouds
277,Erenhot,CN,43.6475,111.9767,7.45,89,0,4.9,clear sky
278,Viladecans,ES,41.314,2.0143,55.4,54,40,8.05,scattered clouds
279,Reconquista,AR,-29.15,-59.65,87.48,29,0,7.29,clear sky
280,Kolpashevo,RU,58.3131,82.9089,15.66,93,98,16.17,overcast clouds
281,Lezajsk,PL,50.2626,22.4193,21.0,79,90,17.27,snow
282,Saldanha,ZA,-33.0117,17.9442,73.4,46,0,25.32,clear sky
283,Ostrovnoy,RU,68.0531,39.5131,9.86,88,99,10.56,overcast clouds
284,Zelenchukskaya,RU,43.858,41.5894,33.91,90,100,0.74,overcast clouds
285,Hualmay,PE,-11.0964,-77.6139,76.14,63,100,6.82,overcast clouds
286,Maltahohe,NA,-24.8333,16.9833,93.11,10,0,13.85,clear sky
287,Jhudo,PK,24.964,69.2968,63.16,30,0,5.53,clear sky
288,Indramayu,ID,-6.3264,108.32,76.93,94,100,15.14,light rain
289,Beaverlodge,CA,55.2166,-119.4361,-47.2,66,40,4.61,mist
290,Russell,US,32.3502,-85.1999,46.4,76,90,10.36,overcast clouds
291,Khani,GE,41.9563,42.9566,46.4,93,90,5.75,overcast clouds
292,Alyangula,AU,-13.8483,136.4192,82.4,83,90,14.97,overcast clouds
293,Chumphon,TH,10.3333,98.8333,69.01,100,0,2.62,clear sky
294,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,10.36,drizzle
295,Talnakh,RU,69.4865,88.3972,-23.55,72,0,3.74,clear sky
296,Marsh Harbour,BS,26.5412,-77.0636,78.17,76,0,20.67,clear sky
297,Ouadda,CF,8.0777,22.4007,86.22,13,52,5.95,broken clouds
298,Jumla,NP,29.2747,82.1838,35.46,60,0,6.89,clear sky
299,Aklavik,CA,68.2191,-135.0107,-11.2,70,75,12.66,snow
300,San Cristobal,VE,7.7669,-72.225,84.2,58,20,6.91,few clouds
301,Ust-Tsilma,RU,65.441,52.1498,-24.27,84,100,9.8,overcast clouds
302,West Fargo,US,46.875,-96.9004,-14.8,69,1,8.05,clear sky
303,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,11.5,broken clouds
304,Chuy,UY,-33.6971,-53.4616,76.51,59,1,7.27,clear sky
305,Alpena,US,45.0617,-83.4327,9.0,66,1,6.91,clear sky
306,Menongue,AO,-14.6585,17.691,73.63,79,100,4.54,light rain
307,Wajima,JP,37.4,136.9,35.85,83,99,13.35,light rain
308,Komsomolets,KZ,53.7453,62.0708,5.16,91,66,13.98,broken clouds
309,Santiago,CL,-33.4569,-70.6483,70.0,82,90,3.44,mist
310,Fayaoue,NC,-20.65,166.5333,80.04,73,12,8.05,few clouds
311,Narrabri,AU,-30.3167,149.7833,68.0,73,4,4.61,clear sky
312,Pangody,RU,65.85,74.4859,-2.74,92,100,21.81,light snow
313,Talcahuano,CL,-36.7167,-73.1167,62.6,82,90,1.14,overcast clouds
314,Mandurah,AU,-32.55,115.7,66.99,93,84,19.06,broken clouds
315,Hutchinson,US,38.0608,-97.9298,12.2,79,90,9.22,light snow
316,Bouca,CF,6.5105,18.2733,95.76,10,7,6.13,clear sky
317,Collie,AU,-33.3667,116.15,63.0,91,100,1.01,overcast clouds
318,Luderitz,NA,-26.6481,15.1594,77.18,50,0,33.55,clear sky
319,Pangnirtung,CA,66.1451,-65.7125,28.11,80,0,15.64,clear sky
320,Otradnoye,RU,59.7775,30.8181,15.8,86,75,13.42,snow
321,Xining,CN,36.6167,101.7667,27.07,57,0,2.24,clear sky
322,Port Hardy,CA,50.6996,-127.4199,39.2,93,75,4.61,light rain
323,Flinders,AU,-34.5833,150.8552,68.0,78,82,4.0,broken clouds
324,Katsuura,JP,35.1333,140.3,48.2,46,0,23.02,clear sky
325,Banjar,ID,-8.19,114.9675,77.0,94,20,6.91,few clouds
326,Pitea,SE,65.3172,21.4794,14.0,85,0,6.91,clear sky
327,Porto Novo,BJ,6.4965,2.6036,89.6,70,20,16.11,few clouds
328,Chernyshevskiy,RU,63.0128,112.4714,1.53,95,100,4.97,overcast clouds
329,Westport,US,41.1415,-73.3579,32.0,74,90,10.36,snow
330,Faya,SA,18.3851,42.4509,60.8,58,20,9.22,few clouds
331,San Carlos Del Zulia,VE,9.0,-71.9135,87.82,57,71,2.77,broken clouds
332,Isangel,VU,-19.55,169.2667,77.0,94,20,3.71,few clouds
333,Cidreira,BR,-30.1811,-50.2056,77.65,63,50,9.84,scattered clouds
334,Clarence Town,AU,-32.5833,151.7833,70.0,83,75,10.36,broken clouds
